,simulated model,fit model,BIC,simulation
0,Random,Random,2283.4,0
0,Random,CK,3007.0,0
0,Random,RW,3009.4,0
0,Random,RWCK,4442.8,0
0,Random,Random,1710.8,1
0,Random,CK,2566.2,1
0,Random,RW,2496.6,1
0,Random,RWCK,3931.8,1
0,Random,Random,1320.8,2
0,Random,CK,2235.0,2
0,Random,RW,2131.6,2
0,Random,RWCK,3551.2,2
0,Random,Random,2263.6,3
0,Random,CK,3000.4,3
0,Random,RW,3012.2,3
0,Random,RWCK,4438.4,3
0,Random,Random,1663.4,4
0,Random,CK,2516.2,4
0,Random,RW,2464.6,4
0,Random,RWCK,3888.4,4
0,CK,Random,2298.8,0
0,CK,CK,2992.2,0
0,CK,RW,3016.4,0
0,CK,RWCK,4430.2,0
0,CK,Random,2294.2,1
0,CK,CK,2992.6,1
0,CK,RW,3007.4,1
0,CK,RWCK,4430.2,1
0,CK,Random,2294.8,2
0,CK,CK,2983.6,2
0,CK,RW,2999.8,2
0,CK,RWCK,4420.6,2
0,CK,Random,2298.6,3
0,CK,CK,3008.4,3
0,CK,RW,3015.4,3
0,CK,RWCK,4445.4,3
0,CK,Random,2298.6,4
0,CK,CK,3017.8,4
0,CK,RW,3017.6,4
0,CK,RWCK,4455.6,4
0,RW,Random,2107.8,0
0,RW,CK,2042.8,0
0,RW,RW,1749.2,0
0,RW,RWCK,3185.4,0
0,RW,Random,2289.8,1
0,RW,CK,1858.0,1
0,RW,RW,1529.6,1
0,RW,RWCK,2967.2,1
0,RW,Random,2231.8,2
0,RW,CK,1814.6,2
0,RW,RW,1478.0,2
0,RW,RWCK,2916.0,2
0,RW,Random,2297.6,3
0,RW,CK,2035.4,3
0,RW,RW,1723.2,3
0,RW,RWCK,3160.8,3
0,RW,Random,2275.4,4
0,RW,CK,1806.6,4
0,RW,RW,1468.8,4
0,RW,RWCK,2906.8,4
0,RWCK,Random,2264.6,0
0,RWCK,CK,1806.6,0
0,RWCK,RW,1468.8,0
0,RWCK,RWCK,2906.8,0
0,RWCK,Random,2037.8,1
0,RWCK,CK,2006.4,1
0,RWCK,RW,1746.8,1
0,RWCK,RWCK,3183.0,1
0,RWCK,Random,2248.0,2
0,RWCK,CK,1921.0,2
0,RWCK,RW,1630.4,2
0,RWCK,RWCK,3067.0,2
0,RWCK,Random,2291.2,3
0,RWCK,CK,1806.6,3
0,RWCK,RW,1468.8,3
0,RWCK,RWCK,2906.8,3
0,RWCK,Random,2250.2,4
0,RWCK,CK,2322.2,4
0,RWCK,RW,2444.4,4
0,RWCK,RWCK,3668.8,4
